root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;0;411231
1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;389085
1;1;0;1;0;0;1;1;1;1;0;0;1;1;1;0;0;402957
1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;384068
1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;388685
1;1;1;0;1;1;1;1;0;1;1;0;0;1;0;1;0;352018
1;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;404430
1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;0;1;350647
1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;384198
1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;374878
1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;402579
1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;379005
1;1;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;364815
1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;384335
1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;381132
1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;425394
1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;401841
1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;351917
1;1;0;1;1;0;1;1;1;1;1;0;0;1;0;0;1;396488
1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;1;0;353947
1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;0;0;403129
1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;386411
1;1;0;1;1;0;0;1;1;1;1;0;0;1;0;0;1;416627
1;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;404430
1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;389097
1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;386429
1;1;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;381203
1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;1;343664
1;1;1;0;1;1;1;0;0;1;0;1;0;1;0;1;0;346587
1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;399517
1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;404690
1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;390066
1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;386706
1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;1;383062
1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;391656
1;1;1;0;1;0;0;0;0;1;0;1;0;1;1;0;0;385289
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;383062
1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;386831
1;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;1;382095
1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;414188
1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;0;386831
1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;391656
1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0;386018
1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;0;0;389926
1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;412294
1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;416312
1;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;366064
1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;0;0;390051
1;1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;404992
1;1;0;0;1;1;1;0;1;1;0;0;1;1;0;1;0;366023
1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;0;0;379190
1;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;0;381518
1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;399929
1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;1;407003
1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;385089
1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;381509
1;1;1;0;0;0;0;0;1;1;0;0;1;1;0;1;0;370364
1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;0;0;410382
1;1;1;0;1;0;1;1;1;1;0;0;1;1;0;1;0;354885
1;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;1;405739
1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;382891
1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;0;379190
1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;396368
1;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;358643
1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;391475
