root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;0;924951
1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;750833
1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;0;0;924951
1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;873996
1;1;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;750833
1;1;1;1;0;0;0;1;0;1;1;0;0;1;1;0;0;922849
1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;685964
1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;0;0;653378
1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;923202
1;1;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;922958
1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;945650
1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;684814
1;1;1;1;0;1;0;0;0;1;1;0;0;1;1;0;0;922958
1;1;0;1;1;0;1;1;0;1;1;0;0;1;1;0;0;751490
1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;845182
1;1;1;0;0;1;1;1;0;1;1;0;0;1;1;0;0;655033
1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;946835
1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;875127
1;1;0;0;1;1;0;1;0;1;1;0;0;1;1;0;0;875701
1;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;751490
1;1;1;0;0;0;1;1;0;1;1;0;0;1;1;0;0;654918
1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;874614
1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;751075
1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;890966
1;1;1;0;1;1;1;0;0;1;1;0;0;1;1;0;0;653378
1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;727766
1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;0;0;946855
1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;845901
1;1;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;946855
1;1;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;686301
1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;728049
1;1;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;845901
1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;0;726921
1;1;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;946835
1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;0;0;652972
1;1;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;875701
1;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;844573
1;1;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;753355
1;1;0;0;1;1;1;1;0;1;1;0;0;1;1;0;0;685317
1;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;845182
1;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;0;751075
1;1;0;0;1;0;1;1;0;1;1;0;0;1;1;0;0;686301
1;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0;0;945650
1;1;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;947423
1;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;655033
1;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;0;845354
1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;0;0;726639
1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;873996
1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;838732
1;1;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;923202
1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;654918
1;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;874614
1;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;652972
1;1;1;0;0;1;0;0;0;1;1;0;0;1;1;0;0;844573
1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;685317
1;1;0;1;0;0;1;1;0;1;1;0;0;1;1;0;0;753355
1;1;1;1;0;0;1;0;0;1;1;0;0;1;1;0;0;728049
1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;0;0;922849
1;1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;875127
1;1;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;947423
1;1;0;0;0;1;1;1;0;1;1;0;0;1;1;0;0;685964
1;1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;684814
1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;0;0;726921
1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;726639
1;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;0;845354
