root;no_asm;no_8x8dct;no_cabac;no_deblock;no_fast_pskip;no_mbtree;no_mixed_refs;no_weightb;rc_lookahead;rc_lookahead_20;rc_lookahead_40;rc_lookahead_60;ref;ref_1;ref_5;ref_9;Performance
1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;2.5764
1;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;0;2.3418
1;1;0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;2.429
1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;2.4332
1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;0;0;2.33
1;1;1;0;0;1;0;0;1;1;1;0;0;1;1;0;0;2.2078
1;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;2.4548
1;1;1;0;1;0;1;0;1;1;1;0;0;1;1;0;0;2.0382
1;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;2.2662
1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;2.0396
1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;2.0346
1;1;0;1;1;0;1;0;1;1;1;0;0;1;1;0;0;2.4268
1;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;2.3502
1;1;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;2.4636
1;1;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;2.3536
1;1;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;2.281
1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;2.195
1;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;2.4644
1;1;1;0;0;0;1;1;1;1;1;0;0;1;1;0;0;2.0204
1;1;1;0;0;1;1;1;0;1;1;0;0;1;1;0;0;2.0576
1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;2.6054
1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;0;0;2.4352
1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;2.3406
1;1;0;0;1;1;0;1;0;1;1;0;0;1;1;0;0;2.4454
1;1;1;0;0;0;1;1;0;1;1;0;0;1;1;0;0;2.022
1;1;0;1;0;0;0;1;1;1;1;0;0;1;1;0;0;2.5664
1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;2.4372
1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;2.4288
1;1;0;0;0;1;0;1;1;1;1;0;0;1;1;0;0;2.438
1;1;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;2.2078
1;1;0;0;1;0;1;0;1;1;1;0;0;1;1;0;0;2.2662
1;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;0;2.4564
1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;2.1994
1;1;0;1;1;1;0;1;0;1;1;0;0;1;1;0;0;2.5836
1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;2.1752
1;1;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;2.5758
1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;2.2044
1;1;1;0;1;0;0;0;0;1;1;0;0;1;1;0;0;2.1944
1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;0;2.2196
1;1;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;2.5926
1;1;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;2.4264
1;1;1;1;1;0;1;0;1;1;1;0;0;1;1;0;0;2.1836
1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;0;2.201
1;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;2.1996
1;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;2.1978
1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;2.2076
1;1;0;1;0;1;0;1;0;1;1;0;0;1;1;0;0;2.5922
1;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;2.5908
1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;0;0;2.3418
1;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;0;2.1764
1;1;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;2.2014
1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;0;0;2.1804
1;1;1;0;0;0;1;0;1;1;1;0;0;1;1;0;0;2.0174
1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;2.4638
1;1;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;2.3276
1;1;1;0;0;0;0;1;1;1;1;0;0;1;1;0;0;2.1968
1;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;2.4504
1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;2.5838
1;1;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;2.4186
1;1;1;0;0;1;0;1;1;1;1;0;0;1;1;0;0;2.2082
1;1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;2.2632
1;1;1;1;0;1;1;1;0;1;1;0;0;1;1;0;0;2.2164
1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;2.1944
1;1;1;0;1;1;0;1;0;1;1;0;0;1;1;0;0;2.1888
1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;2.1954
